Rank,Country Name,Country_Encoded,Country ISO,HDI Score,Life expectancy,Expected yrs of schooling,Mean yrs of schooling,GNI per capita,Development Tier,Health_Index,Expected_Schooling_Index,Mean_Schooling_Index,Education_Index,GNI_Cleaned,Income_Index
80,Brazil,23,BRA,0.754,74.7,15.2,7.8,14145.0,High,0.8415384615384616,0.8444444444444444,0.52,0.6822222222222223,14145.0,0.7480198697595579
81,Bosnia and Herzegovina,21,BOS,0.75,76.6,14.2,9.0,10091.0,High,0.8707692307692306,0.7888888888888889,0.6,0.6944444444444444,10091.0,0.697005740952342
82,The former Yugoslav Republic of Macedonia,174,THE,0.747,75.5,12.9,9.4,12405.0,High,0.8538461538461538,0.7166666666666667,0.6266666666666667,0.6716666666666666,12405.0,0.7281920546410963
83,Algeria,2,ALG,0.745,75.0,14.4,7.8,13533.0,High,0.8461538461538461,0.8,0.52,0.66,13533.0,0.7413386660508843
84,Ukraine,183,UKR,0.742,71.1,15.3,11.3,7361.0,High,0.7861538461538461,0.8500000000000001,0.7533333333333334,0.8016666666666667,7361.0,0.6493554907867323
85,Armenia,7,ARM,0.743,74.9,12.7,11.3,8189.0,High,0.8446153846153847,0.7055555555555555,0.7533333333333334,0.7294444444444445,8189.0,0.6654574271076675
86,Jordan,92,JOR,0.741,74.2,13.1,10.1,10111.0,High,0.8338461538461539,0.7277777777777777,0.6733333333333333,0.7005555555555556,10111.0,0.6973048316972779
87,Thailand,173,THA,0.74,74.6,13.6,7.9,14519.0,High,0.8399999999999999,0.7555555555555555,0.5266666666666667,0.6411111111111112,14519.0,0.7519619608715228
88,Peru,139,PER,0.74,74.8,13.4,9.0,11295.0,High,0.8430769230769231,0.7444444444444445,0.6,0.6722222222222223,11295.0,0.7140321708604563
89,Ecuador,57,ECU,0.739,76.1,14.0,8.3,10536.0,High,0.863076923076923,0.7777777777777778,0.5533333333333333,0.6655555555555556,10536.0,0.7035244040565535
90,China,35,CHI,0.737,76.0,13.5,7.6,13345.0,High,0.8615384615384616,0.75,0.5066666666666666,0.6283333333333333,13345.0,0.7392254924043933
91,Fiji,64,FIJ,0.736,70.2,15.3,10.5,8245.0,High,0.7723076923076924,0.8500000000000001,0.7,0.775,8245.0,0.6664868969505068
